 PID  USER         PR NI  VIRT  RES  SHR S %CPU   %MEM  TIME+   COMMOND
 5366 u0_a188      10 -10 1.9G 241M 200M S 32.0   8.9   0:20.20 com.dozengame.m+
 5366 u0_a188      10 -10 1.9G 245M 200M S 46.0   9.0   0:20.52 com.dozengame.m+
 5366 u0_a188      10 -10 1.9G 244M 200M S 47.0   9.0   0:20.98 com.dozengame.m+
 5366 u0_a188      10 -10 1.9G 243M 199M S 44.0   9.0   0:21.45 com.dozengame.m+
 5366 u0_a188      10 -10 1.9G 243M 199M S 30.0   9.0   0:21.89 com.dozengame.m+
 5366 u0_a188      10 -10 1.9G 243M 199M S 43.0   9.0   0:22.19 com.dozengame.m+
 5366 u0_a188      10 -10 1.9G 243M 199M S 49.0   9.0   0:22.62 com.dozengame.m+
 5366 u0_a188      10 -10 1.9G 243M 199M S 39.0   9.0   0:23.11 com.dozengame.m+
 5366 u0_a188      10 -10 1.9G 243M 199M S 51.0   9.0   0:23.50 com.dozengame.m+
 5366 u0_a188      10 -10 1.9G 243M 199M S 29.0   9.0   0:24.01 com.dozengame.m+
 5366 u0_a188      10 -10 1.9G 243M 199M S 46.0   9.0   0:24.30 com.dozengame.m+
 5366 u0_a188      10 -10 1.9G 243M 199M S 46.0   9.0   0:24.76 com.dozengame.m+
 5366 u0_a188      10 -10 1.9G 242M 199M S 43.0   9.0   0:25.22 com.dozengame.m+
 5366 u0_a188      10 -10 1.9G 241M 199M S 37.0   8.9   0:25.65 com.dozengame.m+
 5366 u0_a188      10 -10 1.9G 241M 199M S 40.0   8.9   0:26.02 com.dozengame.m+
 5366 u0_a188      10 -10 1.9G 241M 199M S 42.0   8.9   0:26.42 com.dozengame.m+
 5366 u0_a188      10 -10 1.9G 241M 199M S 37.0   8.9   0:26.84 com.dozengame.m+
 5366 u0_a188      10 -10 1.9G 241M 199M S 37.0   8.9   0:27.21 com.dozengame.m+
 5366 u0_a188      10 -10 1.9G 241M 199M S 46.0   8.9   0:27.58 com.dozengame.m+
 5366 u0_a188      10 -10 1.9G 241M 199M S 40.0   8.9   0:28.04 com.dozengame.m+
 5366 u0_a188      10 -10 1.9G 241M 199M S 46.0   8.9   0:28.44 com.dozengame.m+
 5366 u0_a188      10 -10 1.9G 241M 199M S 30.0   8.9   0:28.90 com.dozengame.m+
 5366 u0_a188      10 -10 1.9G 241M 199M S 41.0   8.9   0:29.20 com.dozengame.m+
 5366 u0_a188      10 -10 1.9G 241M 199M S 43.0   8.9   0:29.61 com.dozengame.m+
 5366 u0_a188      10 -10 1.9G 241M 199M S 44.0   8.9   0:30.04 com.dozengame.m+
 5366 u0_a188      10 -10 1.9G 241M 199M S 21.0   8.9   0:30.48 com.dozengame.m+
 5366 u0_a188      10 -10 1.9G 241M 199M S 50.0   8.9   0:30.69 com.dozengame.m+
 5366 u0_a188      10 -10 1.9G 241M 199M S 44.0   8.9   0:31.19 com.dozengame.m+
 5366 u0_a188      10 -10 1.9G 241M 199M S 40.0   8.9   0:31.63 com.dozengame.m+
 5366 u0_a188      10 -10 1.9G 241M 199M S 40.0   8.9   0:32.03 com.dozengame.m+
 5366 u0_a188      10 -10 1.9G 241M 199M S 32.0   8.9   0:32.43 com.dozengame.m+
 5366 u0_a188      10 -10 1.9G 241M 199M S 38.0   8.9   0:32.75 com.dozengame.m+
 5366 u0_a188      10 -10 1.9G 241M 199M S 45.0   8.9   0:33.13 com.dozengame.m+
 5366 u0_a188      10 -10 1.9G 241M 199M S 44.0   8.9   0:33.58 com.dozengame.m+
 5366 u0_a188      10 -10 1.9G 241M 199M S 41.0   8.9   0:34.02 com.dozengame.m+
 5366 u0_a188      10 -10 1.9G 241M 199M S 40.0   8.9   0:34.43 com.dozengame.m+
 5366 u0_a188      10 -10 1.9G 241M 199M S 45.0   8.9   0:34.83 com.dozengame.m+
 5366 u0_a188      10 -10 1.9G 241M 199M S 38.0   8.9   0:35.28 com.dozengame.m+
 5366 u0_a188      10 -10 1.9G 241M 199M S 33.0   8.9   0:35.66 com.dozengame.m+
 5366 u0_
